SKU,ID,DETAIL
43334735,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:23.889358""}"
42056539,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:24.721868""}"
43288625,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:25.576782""}"
42119005,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:26.481304""}"
42820994,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:27.142514""}"
43351121,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:27.988091""}"
43444151,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:28.749088""}"
42919094,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:29.517040""}"
43449583,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:30.305565""}"
43439201,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:31.084277""}"
43406210,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:31.937689""}"
43286690,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:32.504008""}"
43492930,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:33.266342""}"
43273317,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:34.018676""}"
43421534,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:34.866682""}"
43387496,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:35.763144""}"
43423620,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:36.461837""}"
43423552,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:37.194961""}"
43418558,not-found,"{""status"": ""not_found"", ""message"": ""Product not found in API"", ""processed_at"": ""2025-09-03T02:33:37.981999""}"
